Assemblage,T,U,S.obs,SC,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Canada,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
Finland,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
Mexico,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
Norway,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
Sweden,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
United States,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
